"iso3","country","year","dxp","gdppc","trade","inf","fdi","hipc","post_decision","post_completion","completion_year","decision_year","ln_relief"
"DJI","Djibouti",2008,81.9170031593552,1119.15233346969,NA,11.9586206896552,22.785843817934,0,0,0,NA,NA,0
"DJI","Djibouti",2009,83.9265785312392,1150.9375857489,NA,1.67549587285964,9.2325515288363,0,0,0,NA,NA,0
"DJI","Djibouti",2010,67.0646568443457,1213.23352553429,NA,3.95007875923885,3.23415329697175,0,0,0,NA,NA,0
"DJI","Djibouti",2011,61.6657905187845,1306.34552844977,NA,5.0687139477799,6.37538483893525,0,0,0,NA,NA,0
"DJI","Djibouti",2012,58.090597298747,1400.19357858954,NA,3.73120950756887,8.1261509172004,0,0,0,NA,NA,0
"DJI","Djibouti",2013,40.6920825984022,2075.94498424748,347.720317058403,2.70603242872182,13.9893763417185,0,0,0,NA,NA,0
"DJI","Djibouti",2014,42.9271673641205,2214.62084142432,298.564535821251,1.34186494340157,6.88983261287099,0,0,0,NA,NA,0
"DJI","Djibouti",2015,51.2014218463801,2376.12554719873,268.363456254629,-0.847389733971996,5.93271216592944,0,0,0,NA,NA,0
"DJI","Djibouti",2016,67.4162737541098,2510.4300076241,213.071998607921,2.73841208738755,6.1420623506391,0,0,0,NA,NA,0
"DJI","Djibouti",2017,86.0029214045977,2618.95521147369,305.967966403468,0.568112117084804,5.97013597143086,0,0,0,NA,NA,0
"DJI","Djibouti",2018,83.7652176445944,2718.08338799203,300.398900523844,0.14797084987711,5.83497725047345,0,0,0,NA,NA,0
"DJI","Djibouti",2019,85.2277738046756,2837.16902340932,320.93923036418,3.31925372703827,5.66550441566635,0,0,0,NA,NA,0
"DJI","Djibouti",2020,95.2325058529055,2844.88810647853,225.744871323723,1.7774078380617,5.03254315668511,0,0,0,NA,NA,0
"DJI","Djibouti",2021,96.2217659599007,3025.91126413549,263.477728733891,1.18191775339802,4.91482788768696,0,0,0,NA,NA,0
"DJI","Djibouti",2022,87.3175079251638,3133.25779772463,302.285409231545,5.17980847967061,5.24930012962196,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1990,78.8457727674791,735.982935028025,52.9227557411273,16.7563747077691,1.70781419624217,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1991,86.6419730599405,622.829605007867,62.8444444444444,19.7485448195578,0.676690666666667,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1992,74.0896473366142,680.79923864551,59.3098490294752,13.6374241717218,1.09661732566499,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1993,65.4923875025721,740.334217356418,55.9278350515464,12.0897922868977,1.05842525773196,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1994,62.362127998641,807.303537230487,50.6285714285714,8.15423128587096,2.42013257142857,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1995,55.3438841620587,916.326617700876,50.2450980392157,15.7422305021596,0.994028431372549,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1996,46.2968747922495,1008.97637629447,46.9485614646905,7.18710369719992,0.940414995640802,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1997,37.94020848832,1146.20172117634,43.7382474614517,4.62560578826438,1.13537589319293,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1998,37.7513678480621,1212.82259820477,41.9276270006959,3.8725754642749,1.26843702157272,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",1999,34.1163848938461,1268.30949160496,38.3615084525358,3.07949912638332,1.1743928153446,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2000,29.1436697781484,1366.09274372613,39.0179359012055,2.68380535348546,1.23699720670391,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2001,28.9819896399422,1295.1374184163,39.8104265402844,2.26975720475956,0.527384722609423,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2002,34.8088896707165,1116.82884626213,40.9870678279229,2.73723855000334,0.759753233043019,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2003,37.9984128219101,1031.27556291284,46.1796407185629,4.50777636319304,0.295683832335329,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2004,39.9656119503054,991.255689145253,57.8199052132701,11.270619332052,1.59083618380383,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2005,34.1985013048919,1105.53920713903,62.9526462395543,4.86939696871988,5.99551598885794,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2006,28.7414925057896,1298.97900203124,61.5185365063947,7.64452644526434,9.34856726566294,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2007,26.2922867901955,1547.74170735909,65.077873254565,9.3189690579923,8.87633606337272,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2008,20.6637689686303,1896.21594269779,71.6806253489671,18.3168316831684,5.8314126186488,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2009,18.7094477594032,2161.63964573927,56.5534446363462,11.7634954386443,3.54835118019574,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2010,17.1484993453553,2455.08194645282,47.9363500745898,11.2651882653185,2.91601657550141,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2011,15.3121406993227,2590.64384891965,45.2556341623514,10.0649259874818,-0.204542848807527,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2012,14.6941589979995,2996.0677072015,40.7117692721084,7.11172943343083,1.00234071774049,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2013,16.5588608179564,3025.52563552448,40.373038056332,9.46971981064921,1.45343420769727,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2014,14.0020767838652,3133.39102265541,36.9201877934272,10.0702154687481,1.50925042253521,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2015,15.4090910799379,3306.98159414141,34.8459429600229,10.370490343517,2.10258128401326,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2016,21.0959884446522,3270.6287768197,30.2465490514505,13.813606214829,2.43856278142762,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2017,34.6961018574758,2395.10333299491,42.8321343581608,29.5066083940039,2.98301550917695,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2018,38.8036123837843,2484.70315630508,45.9110196733959,14.4014657807422,3.10040077579187,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2019,37.3486377137165,2962.98892023003,41.1240171551108,9.15279959324804,2.82732944960686,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2020,35.5843178235706,3511.11381026379,32.1262555667523,5.04493288977539,1.52462948997172,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2021,35.4130599251787,3827.35415374308,29.8569734808122,5.21404940513043,1.20617861055665,0,0,0,NA,NA,0
"EGY","Egypt, Arab Rep.",2022,35.3832819125992,4233.30783744856,36.9831048772713,13.8956609775178,2.39118080969079,0,0,0,NA,NA,0
"JOR","Jordan",1990,211.223418649428,1148.59005469899,149.4476838941,16.1921375615233,0.904951524213929,0,0,0,NA,NA,0
"JOR","Jordan",1991,243.603960084647,1109.65564611997,137.261663286004,8.15549597855212,-0.273621540083886,0,0,0,NA,NA,0
"JOR","Jordan",1992,160.533224988594,1286.6347360596,131.644698648349,3.9958356055719,0.766783016836771,0,0,0,NA,NA,0
"JOR","Jordan",1993,144.070329526269,1289.4145431007,130.485233240655,3.31666666666706,-0.598396989551083,0,0,0,NA,NA,0
"JOR","Jordan",1994,127.554052364155,1367.18721776691,118.336176072338,3.51669624132886,0.045776079316656,0,0,0,NA,NA,0
"JOR","Jordan",1995,118.783202123083,1415.71151592128,124.582688188008,2.35312451301273,0.197813411584189,0,0,0,NA,NA,0
"JOR","Jordan",1996,111.367141017405,1410.17424189419,131.059123299943,6.50121802679586,0.223959605831094,0,0,0,NA,NA,0
"JOR","Jordan",1997,103.929126146715,1435.87593846863,120.737112880307,3.0378842030025,4.9812158137543,0,0,0,NA,NA,0
"JOR","Jordan",1998,97.2557012859487,1532.11380395602,109.052402937716,3.09166666666703,3.9181432493137,0,0,0,NA,NA,0
"JOR","Jordan",1999,101.384262064357,1544.58750592979,104.470373639306,0.606256567779427,1.93828634719554,0,0,0,NA,NA,0
"JOR","Jordan",2000,129.218123009942,1570.61002940477,110.328904595996,0.66688092559796,10.7940053678297,0,0,0,NA,NA,0
"JOR","Jordan",2001,130.076903135917,1632.29454010563,109.285478573786,1.77220437351017,3.04850514227071,0,0,0,NA,NA,0
"JOR","Jordan",2002,134.858416337977,1706.26744384401,114.03885781572,1.83299389002049,2.48601734100151,0,0,0,NA,NA,0
"JOR","Jordan",2003,120.987761153873,1775.67625581432,115.706835253918,1.62999999999998,5.36472671434697,0,0,0,NA,NA,0
"JOR","Jordan",2004,110.353717573538,1940.08641342805,134.621611934395,3.36186821476601,8.2092227069918,0,0,0,NA,NA,0
"JOR","Jordan",2005,98.7666113352152,2087.87079273635,146.908891279018,3.49368534619531,15.7636461414358,0,0,0,NA,NA,0
"JOR","Jordan",2006,89.3343301813528,2342.63459574933,141.747381831126,6.25172466656443,23.5372913427131,0,0,0,NA,NA,0
"JOR","Jordan",2007,84.0345273140491,2506.20599484139,145.994246288526,4.74390639021648,15.3248262609959,0,0,0,NA,NA,0
"JOR","Jordan",2008,59.8991464158498,3241.6524135556,140.91292596092,13.9712310012729,12.4753075049094,0,0,0,NA,NA,0
"JOR","Jordan",2009,57.2775695624817,3435.8337590698,112.151998187109,-0.739069743144777,9.83417874476547,0,0,0,NA,NA,0
"JOR","Jordan",2010,62.7590806656665,3718.46571622945,114.222677694125,4.84551875852116,6.22247566973912,0,0,0,NA,NA,0
"JOR","Jordan",2011,59.7339174529003,3946.85503855525,118.699679501801,4.1624416292779,5.03335872688489,0,0,0,NA,NA,0
"JOR","Jordan",2012,58.5598260044692,4169.50470054618,117.855587685189,4.5152295667099,4.89480688682321,0,0,0,NA,NA,0
"JOR","Jordan",2013,67.4266385860852,4311.21916713038,111.451527997628,4.82462314269537,5.64977168714588,0,0,0,NA,NA,0
"JOR","Jordan",2014,66.2217873926144,4191.18050084986,109.938805535022,2.89947905006057,5.91204890205889,0,0,0,NA,NA,0
"JOR","Jordan",2015,67.0927641139484,4042.75678097555,95.3579122266791,-0.876851359704049,4.14720229174937,0,0,0,NA,NA,0
"JOR","Jordan",2016,68.4833967118955,3986.71677010853,88.7207178954687,-0.778430463054142,3.89285142868971,0,0,0,NA,NA,0
"JOR","Jordan",2017,72.5857469158017,4065.61628749384,89.7316005071358,3.32389447576097,4.87814133167977,0,0,0,NA,NA,0
